Time,Credit,amt
1-Jul-12,B,7655.032509
1-Jul-12,C,7500.129098
1-Jul-12,D,8064.808303
1-Jul-12,E,7554.632995
1-Jul-12,HR,7071.233676
1-Oct-12,A,10743.0539
1-Oct-12,AA,11814.85714
1-Oct-12,B,8395.529929
1-Oct-12,C,8871.69988
1-Oct-12,D,7728.839749
1-Oct-12,E,7606.549769
1-Oct-12,HR,7289.410256
1-Jan-13,A,11248.96865
1-Jan-13,AA,13881.96165
1-Jan-13,B,9206.598333
1-Jan-13,C,8251.531579
1-Jan-13,D,7898.65
1-Jan-13,E,7854.113511
1-Jan-13,HR,8915.923958
1-Apr-13,A,12294.02296
1-Apr-13,AA,13708.99213
1-Apr-13,B,10469.77489
1-Apr-13,C,9721.77326
1-Apr-13,D,8196.876651
1-Apr-13,E,7543.447045
1-Apr-13,HR,9216.629324
1-Jul-13,A,12500.86761
1-Jul-13,AA,15392.77497
1-Jul-13,B,10857.25191
1-Jul-13,C,9606.070258
1-Jul-13,D,7838.999704
1-Jul-13,E,7684.037717
1-Jul-13,HR,10017.72169
1-Oct-13,A,12499.836
1-Oct-13,AA,12965.66024
1-Oct-13,B,11338.58232
1-Oct-13,C,10500.99025
1-Oct-13,D,9261.167844
1-Oct-13,E,8306
1-Oct-13,HR,8500
1-Jan-14,A,12497.64489
1-Jan-14,AA,15323.6135
1-Jan-14,B,11888.46816
1-Jan-14,C,11048.18325
1-Jan-14,D,9145.552885
1-Jan-14,E,9149.222222
1-Jan-14,HR,8596.547143
