Time,Credit,num
1-Oct-13,D,1773
1-Oct-13,E,1485
1-Oct-13,HR,397
1-Jan-14,A,2948
1-Jan-14,AA,1088
1-Jan-14,B,2708
1-Jan-14,C,3359
1-Jan-14,D,1118
1-Jan-14,E,848
1-Jan-14,HR,103
