Time,Category,prin
1-Oct-12,16,12500
1-Oct-12,17,0
1-Oct-12,18,8029
1-Oct-12,19,6620.833333
1-Oct-12,20,12818.25333
1-Jan-13,1,10165.22947
1-Jan-13,2,10189.79521
1-Jan-13,3,10919.12663
1-Jan-13,6,7627.847826
1-Jan-13,7,10385.4375
1-Jan-13,8,8307.142857
1-Jan-13,9,9416.666667
1-Jan-13,10,12000
1-Jan-13,11,13071.42857
1-Jan-13,12,7500
1-Jan-13,13,6621.425135
1-Jan-13,14,5604.590909
1-Jan-13,15,10778.21942
1-Jan-13,16,3500
1-Jan-13,17,0
1-Jan-13,18,7364.941176
1-Jan-13,19,5571.945909
1-Jan-13,20,8364.153846
1-Apr-13,0,2500
1-Apr-13,1,10851.96485
1-Apr-13,2,10573.2602
1-Apr-13,3,12788.86423
1-Apr-13,6,8583.043448
1-Apr-13,7,9243.593211
1-Apr-13,8,14423.2
1-Apr-13,9,7820.2
1-Apr-13,10,10750
1-Apr-13,11,11250
1-Apr-13,12,4000
1-Apr-13,13,8735.447761
1-Apr-13,14,8724.098846
1-Apr-13,15,8666.26506
1-Apr-13,16,5048.666667
1-Apr-13,17,6500
1-Apr-13,18,9571.854167
1-Apr-13,19,7622.300227
1-Apr-13,20,10119.04762
1-Jul-13,0,0
1-Jul-13,1,11082.56636
1-Jul-13,2,11706.50314
1-Jul-13,3,10807.48822
1-Jul-13,6,8997.44
1-Jul-13,7,9438.227113
1-Jul-13,8,7500
1-Jul-13,9,14000
1-Jul-13,10,0
1-Jul-13,11,7060
1-Jul-13,12,12325
1-Jul-13,13,7881.272239
1-Jul-13,14,9841.2
1-Jul-13,15,9582.5
1-Jul-13,16,9075
1-Jul-13,17,3500
1-Jul-13,18,9677.811538
1-Jul-13,19,9932.263158
1-Jul-13,20,10545.95238
1-Oct-13,1,11150.33364
1-Oct-13,2,12689.98789
1-Oct-13,3,12861.74504
1-Oct-13,6,9346.101569
1-Oct-13,7,11211.41809
