Time,Credit,dti
1-Jan-12,A,0.180867508
1-Jan-12,AA,0.113069307
1-Jan-12,B,0.236896985
1-Jan-12,C,0.260496454
1-Jan-12,D,0.296660517
1-Jan-12,E,0.30100295
1-Jan-12,HR,0.34956044
1-Apr-12,A,0.179184
1-Apr-12,AA,0.1126
1-Apr-12,B,0.220838052
1-Apr-12,C,0.260717391
1-Apr-12,D,0.332142857
1-Apr-12,E,0.255010482
1-Apr-12,HR,0.353407602
1-Jul-12,A,0.216228647
1-Jul-12,AA,0.171037736
1-Jul-12,B,0.245284327
1-Jul-12,C,0.277246521
1-Jul-12,D,0.284794989
1-Jul-12,E,0.264555085
1-Jul-12,HR,0.315550802
1-Oct-12,A,0.216671851
1-Oct-12,AA,0.176005025
1-Oct-12,B,0.249307536
1-Oct-12,C,0.267783075
1-Oct-12,D,0.285562044
1-Oct-12,E,0.319128065
1-Oct-12,HR,0.364387097
1-Jan-13,A,0.237784553
1-Jan-13,AA,0.184336735
1-Jan-13,B,0.255157895
1-Jan-13,C,0.264905897
1-Jan-13,D,0.264992343
1-Jan-13,E,0.251266094
1-Jan-13,HR,1.06
1-Apr-13,A,0.226488812
1-Apr-13,AA,0.197237237
1-Apr-13,B,0.244966799
1-Apr-13,C,0.265654291
1-Apr-13,D,0.254854015
1-Apr-13,E,0.278138925
1-Apr-13,HR,1.180359712
1-Jul-13,A,0.231667677
1-Jul-13,AA,0.196303797
1-Jul-13,B,0.245074198
1-Jul-13,C,0.26431197
1-Jul-13,D,0.257359073
1-Jul-13,E,0.316554622
1-Jul-13,HR,0.523529412
1-Oct-13,A,0.221076722
1-Oct-13,AA,0.192827298
1-Oct-13,B,0.244098749
1-Oct-13,C,0.282792351
1-Oct-13,D,0.287170935
1-Oct-13,E,0.263416905
1-Oct-13,HR,0.346217617
1-Jan-14,A,0.22862183
1-Jan-14,AA,0.196454456
1-Jan-14,B,0.252751302
1-Jan-14,C,0.288235104
1-Jan-14,D,0.299218303
1-Jan-14,E,0.282005076
1-Jan-14,HR,0.395631068
