Time,Category,dti
1-Oct-12,9,0.153333333
1-Oct-12,10,0.177777778
1-Oct-12,11,0.1625
1-Oct-12,12,0.09
1-Oct-12,13,0.230121951
1-Oct-12,14,0.200697674
1-Oct-12,15,0.227484277
1-Oct-12,16,0.146818182
1-Oct-12,17,0.163333333
1-Oct-12,18,0.212461538
1-Oct-12,19,0.212575758
1-Oct-12,20,0.244090909
1-Jan-13,1,0.293856436
1-Jan-13,2,0.259324324
1-Jan-13,3,0.277818182
1-Jan-13,6,0.236969697
1-Jan-13,7,0.289773756
1-Jan-13,8,0.23
1-Jan-13,9,0.234
1-Jan-13,10,0.26625
1-Jan-13,11,0.176818182
1-Jan-13,12,0.2575
1-Jan-13,13,0.26371134
1-Jan-13,14,0.208541667
1-Jan-13,15,0.261238095
1-Jan-13,16,0.179333333
1-Jan-13,17,0.153333333
1-Jan-13,18,0.22375
1-Jan-13,19,0.2556
1-Jan-13,20,0.2405
1-Apr-13,0,0.35
1-Apr-13,1,0.277664671
1-Apr-13,2,0.272140411
1-Apr-13,3,0.233574879
1-Apr-13,6,0.218369565
1-Apr-13,7,0.246918768
1-Apr-13,8,0.226086957
1-Apr-13,9,0.208333333
1-Apr-13,10,0.284444444
1-Apr-13,11,0.189166667
1-Apr-13,12,0.3
1-Apr-13,13,0.238027211
1-Apr-13,14,0.226363636
1-Apr-13,15,0.257720588
1-Apr-13,16,0.1655
1-Apr-13,17,0.195
1-Apr-13,18,0.225463918
1-Apr-13,19,0.303052632
1-Apr-13,20,0.239491525
1-Jul-13,0,0.303333333
1-Jul-13,1,0.271609337
1-Jul-13,2,0.221678082
1-Jul-13,3,0.259542254
1-Jul-13,6,0.23039604
1-Jul-13,7,0.231677852
1-Jul-13,8,0.221578947
1-Jul-13,9,0.201111111
1-Jul-13,10,0.174285714
1-Jul-13,11,0.1748
1-Jul-13,12,0.258333333
1-Jul-13,13,0.251826484
1-Jul-13,14,0.225408163
1-Jul-13,15,0.236884058
1-Jul-13,16,0.176956522
1-Jul-13,17,0.145
1-Jul-13,18,0.232857143
1-Jul-13,19,0.259493671
1-Jul-13,20,0.247961165
1-Oct-13,1,0.267664084
1-Oct-13,2,0.227089431
1-Oct-13,3,0.234300341
1-Oct-13,6,0.219856115
1-Oct-13,7,0.228679245
1-Oct-13,8,0.187352941
1-Oct-13,9,0.166
1-Oct-13,11,0.195
1-Oct-13,12,0.17
1-Oct-13,13,0.242451923
1-Oct-13,14,0.197181208
1-Oct-13,15,0.242275132
1-Oct-13,16,0.185384615
1-Oct-13,17,0.065
1-Oct-13,18,0.234307692
1-Oct-13,19,0.229861111
1-Oct-13,20,0.233586957
1-Jan-14,0,0.275
1-Jan-14,1,0.268297967
1-Jan-14,2,0.231212121
1-Jan-14,3,0.245084034
1-Jan-14,6,0.211134021
1-Jan-14,7,0.219974326
1-Jan-14,8,0.25125
1-Jan-14,9,0.206666667
1-Jan-14,11,0.171111111
1-Jan-14,12,0.3
1-Jan-14,13,0.234580153
1-Jan-14,14,0.212162162
1-Jan-14,15,0.222484472
1-Jan-14,16,0.199230769
1-Jan-14,17,0.208333333
1-Jan-14,18,0.224615385
1-Jan-14,19,0.18962963
1-Jan-14,20,0.214347826
